,C1_OBJ_NM,DT,C1_NM,UNIT_NM,ITM_NM,TBL_NM
0,특성별,200.4,전체,만원,최소 생활비,노후생활 월평균 생활비
1,특성별,261.4,전체,만원,적정 생활비,노후생활 월평균 생활비
2,특성별,161.8,전체,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
3,특성별,213.7,남성,만원,최소 생활비,노후생활 월평균 생활비
4,특성별,277.9,남성,만원,적정 생활비,노후생활 월평균 생활비
5,특성별,177,남성,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
6,특성별,158.2,여성,만원,최소 생활비,노후생활 월평균 생활비
7,특성별,209,여성,만원,적정 생활비,노후생활 월평균 생활비
8,특성별,113.7,여성,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
9,특성별,278.7,49세 이하,만원,최소 생활비,노후생활 월평균 생활비
10,특성별,365.4,49세 이하,만원,적정 생활비,노후생활 월평균 생활비
11,특성별,156.8,49세 이하,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
12,특성별,270.5,50세~59세,만원,최소 생활비,노후생활 월평균 생활비
13,특성별,349.5,50세~59세,만원,적정 생활비,노후생활 월평균 생활비
14,특성별,196.2,50세~59세,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
15,특성별,241.8,60세~64세,만원,최소 생활비,노후생활 월평균 생활비
16,특성별,311.8,60세~64세,만원,적정 생활비,노후생활 월평균 생활비
17,특성별,192.3,60세~64세,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
18,특성별,198.3,65세~74세,만원,최소 생활비,노후생활 월평균 생활비
19,특성별,258.6,65세~74세,만원,적정 생활비,노후생활 월평균 생활비
20,특성별,162.8,65세~74세,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
21,특성별,164.5,75세 이상,만원,최소 생활비,노후생활 월평균 생활비
22,특성별,215.5,75세 이상,만원,적정 생활비,노후생활 월평균 생활비
23,특성별,150.6,75세 이상,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
24,특성별,198.9,독립유공자,만원,최소 생활비,노후생활 월평균 생활비
25,특성별,253.7,독립유공자,만원,적정 생활비,노후생활 월평균 생활비
26,특성별,185.8,독립유공자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
27,특성별,233,국가유공자(본인),만원,최소 생활비,노후생활 월평균 생활비
28,특성별,301.1,국가유공자(본인),만원,적정 생활비,노후생활 월평균 생활비
29,특성별,200.7,국가유공자(본인),만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
30,특성별,176.1,국가유공자(유족),만원,최소 생활비,노후생활 월평균 생활비
31,특성별,233,국가유공자(유족),만원,적정 생활비,노후생활 월평균 생활비
32,특성별,123.3,국가유공자(유족),만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
33,특성별,200.9,5·18민주유공자,만원,최소 생활비,노후생활 월평균 생활비
34,특성별,274.8,5·18민주유공자,만원,적정 생활비,노후생활 월평균 생활비
35,특성별,109.5,5·18민주유공자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
36,특성별,168.7,참전유공자,만원,최소 생활비,노후생활 월평균 생활비
37,특성별,220.9,참전유공자,만원,적정 생활비,노후생활 월평균 생활비
38,특성별,169.9,참전유공자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
39,특성별,185.9,고엽제,만원,최소 생활비,노후생활 월평균 생활비
40,특성별,244.7,고엽제,만원,적정 생활비,노후생활 월평균 생활비
41,특성별,130.5,고엽제,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
42,특성별,215.6,특수임무유공자,만원,최소 생활비,노후생활 월평균 생활비
43,특성별,278.7,특수임무유공자,만원,적정 생활비,노후생활 월평균 생활비
44,특성별,100.6,특수임무유공자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
45,특성별,277,제대군인,만원,최소 생활비,노후생활 월평균 생활비
46,특성별,354.3,제대군인,만원,적정 생활비,노후생활 월평균 생활비
47,특성별,195.1,제대군인,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
48,특성별,241,보훈보상대상자,만원,최소 생활비,노후생활 월평균 생활비
49,특성별,316,보훈보상대상자,만원,적정 생활비,노후생활 월평균 생활비
50,특성별,128.7,보훈보상대상자,만원,준비한(준비가능한) 금액,노후생활 월평균 생활비
