,C1_OBJ_NM,C2_NM,DT,C1_NM,UNIT_NM,ITM_NM,C2_OBJ_NM,TBL_NM
0,특성별,전체(경상소득),3021,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
1,특성별,근로소득,896,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
2,특성별,사업소득,258,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
3,특성별,재산소득,172,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
4,특성별,사적이전소득,106,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
5,특성별,공적이전소득,1588,전체,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
6,특성별,전체(경상소득),3359,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
7,특성별,근로소득,1109,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
8,특성별,사업소득,309,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
9,특성별,재산소득,174,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
10,특성별,사적이전소득,97,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
11,특성별,공적이전소득,1670,남성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
12,특성별,전체(경상소득),2053,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
13,특성별,근로소득,287,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
14,특성별,사업소득,114,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
15,특성별,재산소득,165,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
16,특성별,사적이전소득,132,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
17,특성별,공적이전소득,1356,여성,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
18,특성별,전체(경상소득),4532,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
19,특성별,근로소득,3445,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
20,특성별,사업소득,517,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
21,특성별,재산소득,63,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
22,특성별,사적이전소득,28,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
23,특성별,공적이전소득,480,40대 이하,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
24,특성별,전체(경상소득),5151,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
25,특성별,근로소득,2986,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
26,특성별,사업소득,651,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
27,특성별,재산소득,173,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
28,특성별,사적이전소득,26,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
29,특성별,공적이전소득,1314,50대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
30,특성별,전체(경상소득),3530,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
31,특성별,근로소득,1076,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
32,특성별,사업소득,386,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
33,특성별,재산소득,175,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
34,특성별,사적이전소득,92,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
35,특성별,공적이전소득,1801,60대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
36,특성별,전체(경상소득),2585,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
37,특성별,근로소득,229,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
38,특성별,사업소득,172,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
39,특성별,재산소득,209,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
40,특성별,사적이전소득,120,70대,만원,보훈대상자 평균 개인소득,소득별,보훈대상자 평균 개인소득
