C1_NM,C2_NM,DT,연도
국가유공자(본인),국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,62.8,2018
국가유공자(본인),보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,17.4,2018
국가유공자(본인),일반 국민들이 보훈대상자에 대한 관심과 이해 부족,8.5,2018
국가유공자(본인),사회적 분위가가 보훈대상자에 대한 존경 미흡,9.5,2018
국가유공자(본인),기타,1.8,2018
국가유공자(유족),국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,72.1,2018
국가유공자(유족),보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,19.1,2018
국가유공자(유족),일반 국민들이 보훈대상자에 대한 관심과 이해 부족,5.0,2018
국가유공자(유족),사회적 분위가가 보훈대상자에 대한 존경 미흡,2.4,2018
국가유공자(유족),기타,1.4,2018
참전유공자,국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,73.1,2018
참전유공자,보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,17.0,2018
참전유공자,일반 국민들이 보훈대상자에 대한 관심과 이해 부족,2.1,2018
참전유공자,사회적 분위가가 보훈대상자에 대한 존경 미흡,7.1,2018
참전유공자,기타,0.7,2018
고엽제,국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,56.3,2018
고엽제,보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,32.3,2018
고엽제,일반 국민들이 보훈대상자에 대한 관심과 이해 부족,0.0,2018
고엽제,사회적 분위가가 보훈대상자에 대한 존경 미흡,11.3,2018
고엽제,기타,0.0,2018
특수임무유공자,국가보훈대상자에 걸맞은 적절한 대우를 받지 못해서,69.1,2018
특수임무유공자,보훈대상자에 대한 예우시책이 다양하지 않고 실효성이 없어서,29.3,2018
특수임무유공자,일반 국민들이 보훈대상자에 대한 관심과 이해 부족,0.0,2018
특수임무유공자,사회적 분위가가 보훈대상자에 대한 존경 미흡,1.6,2018
특수임무유공자,기타,0.0,2018
