C1_NM,C2_NM,DT,연도
국가유공자(본인),매우 불만족,6.7,2021
국가유공자(본인),불만족,30.4,2021
국가유공자(본인),보통,37.7,2021
국가유공자(본인),만족,22.0,2021
국가유공자(본인),매우 만족,3.2,2021
국가유공자(유족),매우 불만족,11.4,2021
국가유공자(유족),불만족,29.7,2021
국가유공자(유족),보통,41.2,2021
국가유공자(유족),만족,15.3,2021
국가유공자(유족),매우 만족,2.4,2021
참전유공자,매우 불만족,11.2,2021
참전유공자,불만족,39.3,2021
참전유공자,보통,36.9,2021
참전유공자,만족,11.0,2021
참전유공자,매우 만족,1.6,2021
고엽제,매우 불만족,9.3,2021
고엽제,불만족,37.1,2021
고엽제,보통,35.2,2021
고엽제,만족,16.2,2021
고엽제,매우 만족,2.1,2021
특수임무유공자,매우 불만족,24.6,2021
특수임무유공자,불만족,41.9,2021
특수임무유공자,보통,27.2,2021
특수임무유공자,만족,6.2,2021
특수임무유공자,매우 만족,0.0,2021
