,유공자 구분,지원 항목,알고 있음,모르고 있음
0,국가유공자(본인),교육지원,53.4,46.6
1,국가유공자(본인),대부지원,46.9,53.1
2,국가유공자(본인),보철구지원,42.4,57.6
3,국가유공자(본인),보훈급여금,94.7,5.3
4,국가유공자(본인),사망시지원,73.5,26.5
5,국가유공자(본인),수송시설 지원,58.0,42.0
6,국가유공자(본인),양로보호,41.7,58.3
7,국가유공자(본인),예우지원,52.5,47.5
8,국가유공자(본인),의료지원,88.6,11.4
9,국가유공자(본인),이용료 감면,74.9,25.1
10,국가유공자(본인),재가복지서비스,41.0,59.0
11,국가유공자(본인),제대군인지원센터 전직 지원,40.7,59.3
12,국가유공자(본인),취업지원,50.2,49.8
13,국가유공자(본인),휴양시설이용,48.6,51.4
14,국가유공자(유족),교육지원,31.1,68.9
15,국가유공자(유족),대부지원,22.2,77.8
16,국가유공자(유족),보철구지원,20.8,79.2
17,국가유공자(유족),보훈급여금,88.8,11.2
18,국가유공자(유족),사망시지원,52.6,47.4
19,국가유공자(유족),수송시설 지원,32.1,67.9
20,국가유공자(유족),양로보호,23.5,76.5
21,국가유공자(유족),예우지원,29.6,70.4
22,국가유공자(유족),의료지원,72.1,27.9
23,국가유공자(유족),이용료 감면,50.8,49.2
24,국가유공자(유족),재가복지서비스,23.2,76.8
25,국가유공자(유족),제대군인지원센터 전직 지원,16.5,83.5
26,국가유공자(유족),취업지원,25.0,75.0
27,국가유공자(유족),휴양시설이용,24.7,75.3
28,참전유공자,교육지원,31.5,68.5
29,참전유공자,대부지원,24.9,75.1
30,참전유공자,보철구지원,29.7,70.3
31,참전유공자,보훈급여금,98.1,1.9
32,참전유공자,사망시지원,66.3,33.7
33,참전유공자,수송시설 지원,39.5,60.5
34,참전유공자,양로보호,31.0,69.0
35,참전유공자,예우지원,43.8,56.2
36,참전유공자,의료지원,82.6,17.4
37,참전유공자,이용료 감면,59.3,40.7
38,참전유공자,재가복지서비스,31.2,68.8
39,참전유공자,제대군인지원센터 전직 지원,25.2,74.8
40,참전유공자,취업지원,26.9,73.1
41,참전유공자,휴양시설이용,30.7,69.3
42,고엽제,교육지원,37.5,62.5
43,고엽제,대부지원,27.5,72.5
44,고엽제,보철구지원,31.9,68.1
45,고엽제,보훈급여금,96.8,3.2
46,고엽제,사망시지원,70.4,29.6
47,고엽제,수송시설 지원,45.2,54.8
48,고엽제,양로보호,34.6,65.4
49,고엽제,예우지원,45.9,54.1
50,고엽제,의료지원,86.4,13.6
51,고엽제,이용료 감면,62.4,37.6
52,고엽제,재가복지서비스,32.1,67.9
53,고엽제,제대군인지원센터 전직 지원,24.3,75.7
54,고엽제,취업지원,30.6,69.4
55,고엽제,휴양시설이용,32.0,68.0
56,특수임무유공자,교육지원,47.8,52.2
57,특수임무유공자,대부지원,42.6,57.4
58,특수임무유공자,보철구지원,35.3,64.7
59,특수임무유공자,보훈급여금,88.5,11.5
60,특수임무유공자,사망시지원,56.5,43.5
61,특수임무유공자,수송시설 지원,44.6,55.4
62,특수임무유공자,양로보호,37.4,62.6
63,특수임무유공자,예우지원,41.8,58.2
64,특수임무유공자,의료지원,72.9,27.1
65,특수임무유공자,이용료 감면,62.4,37.6
66,특수임무유공자,재가복지서비스,37.7,62.3
67,특수임무유공자,제대군인지원센터 전직 지원,41.0,59.0
68,특수임무유공자,취업지원,44.4,55.6
69,특수임무유공자,휴양시설이용,41.5,58.5
